seat_no,prn,centre,total_gradepoints,sgpi,status,year_of_admission,clg_id,gender
5201541,2020016402260361,Mumbai,201.0,9.14,Successful ,2020,10,M
5201542,2020016402258942,Mumbai,178.0,8.09,Successful ,2020,10,M
5201543,2018016402446735,Mumbai,175.0,7.95,Successful ,2018,10,M
5201544,2019016402401026,Mumbai,166.0,7.55,Successful ,2019,10,M
5201545,2019016402401011,Mumbai,177.0,8.05,Successful ,2019,10,M
5201546,2019016402401637,Mumbai,161.0,7.32,Successful ,2019,10,F
5201547,2019016402401475,Mumbai,156.0,7.09,Successful ,2019,10,M
5201548,2020016402258226,Mumbai,186.0,8.45,Successful ,2020,10,M
5201549,2020016402258192,Mumbai,165.0,7.5,Successful ,2020,10,M
5201550,2019016402401162,Mumbai,0.0,0.0,Unsuccessful ,2019,10,F
5201551,2019016402401235,Mumbai,172.0,7.82,Successful ,2019,10,M
5201552,2019016402401525,Mumbai,0.0,0.0,Unsuccessful ,2019,10,M
5201553,2019016402401316,Mumbai,0.0,0.0,Unsuccessful ,2019,10,M
5201554,2019016402401301,Mumbai,147.0,6.68,Successful ,2019,10,M
5201555,2019016402400827,Mumbai,189.0,8.59,Successful ,2019,10,M
5201556,2019016402401773,Mumbai,172.0,7.82,Successful ,2019,10,F
5201557,2019016402401765,Mumbai,162.0,7.36,Successful ,2019,10,F
5201558,2019016402401177,Mumbai,199.0,9.05,Successful ,2019,10,F
5201559,2019016402400955,Mumbai,191.0,8.68,Successful ,2019,10,F
5201560,2019016402401467,Mumbai,146.0,6.64,Successful ,2019,10,M
5201561,2019016402401193,Mumbai,190.0,8.64,Successful ,2019,10,M
5201562,2020016402260426,Mumbai,187.0,8.5,Successful ,2020,10,F
5201563,2019016402401355,Mumbai,174.0,7.91,Successful ,2019,10,M
5201564,2019016402401282,Mumbai,173.0,7.86,Successful ,2019,10,M
5201565,2019016402401204,Mumbai,199.0,9.05,Successful ,2019,10,F
5201566,2019016402401096,Mumbai,175.0,7.95,Successful ,2019,10,M
